title,artist,mappers,difficulties_amount,version
The 5th KAC DJ TOTTOs SELECTION,DJ TOTTOs Remix,KindClutch,1,1
FULL MEME NIGHT,DJ UNDERJOY vs his recorder,gold_wolf & DyamoDash,1,1
Low Tetris Beatbox,DJ Verbalase,Meteor_Melee,1,1
Sonic Beatbox Solo,DJ Verbalase,Meteor_Melee,1,1
FLOWER (REDALiCE Remix),DJ YOSHIKATA,KindClutch & EA_Crazed,1,1
Evans,DJ YOSHITAKA,Username_NotRequired,1,1
violentiam,DjGitsu,ZitroNitro,1,1
Everybody Dance Killer,DJKurara,Azurlexx,1,1
You Will Be Speed My Tetris,DJKurara,Avibah4uu2 & AshFromKaaba,1,1
Amp It Up,DJVI,Username_NotRequired,1,1
Back on Track,DJVI,Username_NotRequired,1,1
Can't Let Go,DJVI,Username_NotRequired,1,1
Dry Out,DJVI,UsernameNotRequired,1,1
Palette GAMMA,DJ'TEKINA//SOMETHING,HaxagonYT,1,1
merciful,DM DOKURO vs. ferrofluid,Kanteer,1,1
Fly of Beelzebub,DM DOKURO,OKZitro & DyamoDash,1,1
SAVE,DM DOKURO,Azurlexx,1,1
Scourge of the Universe,DM DOKURO,ZitroNitro & Robineesti11,1,1
Siren's Call & Forbidden Lullaby,DM DOKURO,DyamoDash,1,1
uNDeRWoRLD MoNaRCHy,DM vs. POCKET,DyamoDash,1,1
Flashes,Dollscythe,ZitroNitro,1,1
Etherial Choir Ascends,Doug Maxwell/Media Right Productions,Avibah4uu2,1,1
Hangin' with the Worms,Doug Maxwell/Media Right Productions,Avibah4uu2,1,1
Pyro,Dread Pitt,Neko_Mao,1,1
Moskau (Camellia's Handzup Bootleg),Dschinghis Khan,Username_NotRequired & OKZitro & Azurlexx,1,1
Keygen 8,Dubmood,Azurlexx,1,1
Interlude,Dunderpatrullen,DyamoDash,1,1
Dancing Roach Autotune,DunkMemer,BatBrice,1,1
Furious,DuoCore,Iamuss76,1,1
Trigger (Zekk Remix),Dustvoxx,M4eu,1,1
Keep You (ft. Sundial),Duumu,OKMasterz,1,1
Dyscontrolled Galaxy,Camellia,Water,1,1
Maniera,D(ABE3),Waterbottle317 & Plxsma,1,1
Ghost Stories,D-Block & S-te-Fan,DyamoDash,1,1
Imma OG,D-Sturb & Warface,FrozeniumZ,1,1
Sanctuary Guardian,Earthbound,OKZitro,1,1
Moonlight Of Sand Castle,EBICO,Iamuss76,1,1
Ringed Genesis,Edelritter,Crucru03,1,1
Gravity (Tevlo Remix),EDEN,HaxagonYT,1,1
No One Sleep in Tokyo,Edo Boys,Username_NotRequired,1,1
Nonentity,Eiserne Jungfrau,WaterBottle317,1,1
Black Light,ELECTR,EA_Crazed,1,1
Close To You,Elektronomia,Iamuss76,1,1
Fire,Elektronomia,Iamuss76,1,1
Keygen Church - Eliabe vicie ib odulif hehaguf e cargo bofcre fubc,Master Boot Record,Waterbottle317,1,1
Migraine (ft. Anna Yvette),Ellis,Iamuss76,1,1
Believe in Myself,Elma (CV: Yuki Takada),DyamoDash,1,1
Stay Alive,EMILIA (CV: Rie Takahashi),luniwae,1,1
Pneumatic Tokyo,EnV,DyamoDash,1,1
Mentanpindoradora,enzo & O2i3,trippleAAA3three & superluigizero,1,1
Subside,Ephixa & Bossfight,BatBrice,1,1
Let's Roll,Ephixa & Going Quantum,ZitroNitro,1,1
No Mercy,Eptic,reallyawesomestuff,1,1
Holy Pirate Crusaders,Erectronik,Crucru03,1,1
Der Wald (kors k Remix),Erehamonika,reallyawesomestuff,1,1
Singularity,ETIA.,Duckocute & BasedSammy,1,1
Megumeru,eufonius,Plxsma_RBLX,1,1
Batty,Eurobeat Brony ft. Odyssey,Username_NotRequired,1,1
Myon Myon Meme Douga,Evandragon,EA_Crazed,1,1
Berserk,Evilwave & ST4RBUCK,OKZitro,1,1
Edison,Evoke,Noobisnotbad1,1,1
Void Sector Tau,Exclusion,UberGoobyIsLife,1,1
Obsidian,ExileLord,Avibah4uu2,1,1
Soulless 6,Exilelord,fogsaturate,1,1
Exit This Earth's Atomosphere Camellia's Planetary200step Remix,Camellia,ob1cb,1,1
Glucagon,EZFG,WaterBottle317,1,1
F.U.C.,IShowSpeed,ob1cb,1,1
ENDYMION,fallen shepherd ft. RabbiTonStrings,ZitroNitro,1,1
Serpentine,False Noise,reallyawesomestuff,1,1
Shiver,False Noise,OKZitro,1,1
Ding Fries Are Done,Family Guy,BatBrice,1,1
Audio Avenue,FantomenK,Avibah4uu2,1,1
"Goodbye Summer, Hello Winter",FantomenK,Username_NotRequired,1,1
Origin,Far Out,DyamoDash,1,1
Yi Jian Mei (Turbo's Eurobeat Remix),Fei Yu-ching,Username_NotRequired,1,1
Only Waiting,Feldup,Crucru03,1,1
In my room,FELT,Plxsma_RBLX,1,1
OUR SHIP,FELT,ELDragonPL,1,1
Time and Again,FELT,BasedNA,1,1
Vend,Feryquitous,GDWither,1,1
Wonder Stella,fhana,Plxsma_RBLX,1,1
Comfort BLAST,Filthy,EA_Crazed,1,1
DEATH BREAKFAST,Filthy,nextro420,1,1
Inheritance,Filthy,Crucru03,1,1
Scoop Out Your Eyes (cut),Filthy,Water,1,1
You can't escape from the mission,Filthy,EA_Crazed,1,1
Otherworld,Final Fantasy X,mm1678YT,1,1
Indignant Divinity,flashygoodness,Crucru03,1,1
Spirit Of Things,Floatinurboat,Iamuss76,1,1
Wigglecore,Floor Baba,BasedSammy & Wispy,1,1
A Fool MC MENTAL Night,The Koxx,Foxes_2,1,1
Best Friend (Fusq Remix),Foster the People,Username_NotRequired,1,1
Best Friends (Wave Racer Remix),Foster the People,doofyplayer,1,1
Pumped Up Kicks (Safe Word Cover),Foster the People,doofyplayer,1,1
Kirby Smash (Sped Up),Foxsky,Meteor_Melee,1,1
Paradigm Shift,Fractal Dreamers,Azurlexx,1,1
Superb Mario Medley (ft. Labo Piano),FreddeGredde,Meteor_Melee,1,1
Tutorial Vs Youtube,Freddo Breado,Frozen,1,1
Berry Go,Freezer ft. Kiichigo,GDWither,1,1
Chocolate Planet,Freezer ft. 妃苺,WaterBottle317,1,1
Tutorial,Friday Night Funkin' OST,Noobisnotbad1,1,1
Dad Battle,Friday Night Funkin',Noobisnotbad1,1,1
Fresh,Friday Night Funkin',Naoriwa,1,1
Fresh (In-Game Version),Friday Night Funkin',Noobisnotbad1,1,1
Roses,Friday Night Funkin',Meteor_Melee,1,1
Senpai,Friday Night Funkin',Meteor_Melee,1,1
South,Friday Night Funkin',Noobisnotbad1,1,1
South (Pico Remix),Friday Night Funkin',Noobisnotbad1,1,1
Spookeez,Friday Night Funkin',Meteor_Melee,1,1
Thorns,Friday Night Funkin',Meteor_Melee,1,1
Zavodila (Mid-Fight Masses OST),Friday Night Funkin',Noobisnotbad1,1,1
Insanity at Its Peak,Frozentual x Infinitive,AshFromKaaba,1,1
A Wisp's Chant,Frozentual,FrozeniumZ,1,1
AshFromKaaba,Frozentual,AshFromKaaba,1,1
Avibah4uu2,Frozentual,Avibah4uu2,1,1
Carolina Tangle,Frozentual,FrozeniumZ,1,1
Chiptune Slaughter,Frozentual,AshFromKaaba,1,1
Down to it,Frozentual,FrozeniumZ,1,1
Drop Dead Dreary,Frozentual,Frozentual & Iamuss76,1,1
Frozentual ft. Frozentual,Frozentual,FrozeniumZ,1,1
Hyper Cider,Frozentual,FrozeniumZ,1,1
I Played VRC with NekoExtra,Frozentual,FrozeniumZ,1,1
I Took a Poop in the Sink,Frozentual,AshFromKaaba,1,1
Insanity Reborn,Frozentual,mm1678YT,1,1
Kiano,Frozentual,FrozeniumZ,1,1
Factory Under The Ice,Frozentual & MetaHumanBoi,Noobisnotbad1 & Frozentual,1,1
mm1678YT,Frozentual,mm1678YT,1,1
Night Time Tune,Frozentual,FrozeniumZ,1,1
Noobisnotbad1,Frozentual,Noobisnotbad1,1,1
Noobisnotbad1 SUS Remix,Frozentual,Noobisnotbad1,1,1
Patki izleguvaat nadvor od vodata,Frozentual,AshFromKaaba,1,1
Recover,Frozentual,FrozeniumZ,1,1
Ruby Road,Frozentual,FrozeniumZ,1,1
Sailor,Frozentual,AshFromKaaba,1,1
Stall,Frozentual,FrozeniumZ,1,1
Stall 2,Frozentual,FrozeniumZ,1,1
Stall 3,Frozentual,FrozeniumZ,1,1
Tiny Robot Goes on a Walk,Frozentual & TheCrafters001,FrozeniumZ,1,1
Unintended Insanity,Frozentual,FrozeniumZ,1,1
When the Rage Settles,Frozentual,AshFromKaaba,1,1
Willow Woods,Frozentual,mm1678YT,1,1
Credits EX,Frums,Qwarkie,1,1
Dropdead,Frums,WaterBottle317,1,1
Mdrqnxtagon,Frums,HaxagonYT,1,1
Red and Blue and GREEN,Frums + Nitro,Crucru03,1,1
swallow SMOKE,Frums,Based,1,1
The Divine Comedy,Frums,Robineesti11,1,1
ultra-blazures,Frums,DyamoDash,1,1
Wavetapper,Frums,Duckocute,1,1
We Want To Run,Frums,TotoPowah,1,1
Fucking Disgusting Scum,Seifuku Yangire,dyamodash,1,1
Make a Loser,FujuniseikouyuuP,BasedSammy,1,1
This is Sparta Remix,Funtastic Power,OKPalco,1,1
perfume,fusq,doofyplayer,1,1
Hot,FWLR,doofyplayer,1,1
Cane Swinging,F-777,Username_NotRequired,1,1
Dance of the Violins,F-777,Username_NotRequired,1,1
Dark Dragon Fire,F-777,Azurlexx,1,1
Deadlocked,F-777,WaterBottle317,1,1
Hydra,F-777,RakhaIsNoob,1,1
System Split,F-777,Plxsma_RBLX,1,1
The Seven Seas,F-777,DyamoDash,1,1
Phantom,F-777 & Wyldfire1,Username_NotRequired,1,1
LEthAl wEApOn,G.G-G,nextro420,1,1
Tear Off Your Chain,Galneryus,BasedSammy,1,1
Littleroot Town (Frozentual Cover),GameFreak,FrozeniumZ,1,1
Larva,Garigari Samushi,OKZitro,1,1
Holography,garlagan,ZitroNitro,1,1
Slowing Down,garlagan,ZitroNitro,1,1
there,garlagan,ZitroNitro,1,1
POKEMON GO SONG!!!,Garrett Williamson,Username_NotRequired,1,1
RIDE ON TIME (REDALiCE's CITY POP SHARK Remix),Gawr Gura,Noobisnotbad1,1,1
Glimmer,Geoplex,Iamuss76,1,1
StarDrive,Geoplex,Iamuss76,1,1
Careless Whisper (YeahRight! Remix),George Michael,skippingbee,1,1
Galaxy,Geoxor,AshFromKaaba,1,1
Moonlight,Geoxor,ZitroNitro & Naoriwa,1,1
Nana,Geoxor,OKZitro,1,1
Stardust,Geoxor,eipcness99,1,1
Sky Fracture,Getsix,Meteor_Melee,1,1
Rockefeller Street (Nightcore),Getter Jaani,Meteor_Melee,1,1
DropZ-Line-,Getty vs. Dj Dia,mm1678YT,1,1
Fox4-raize-,Getty vs. DJ DiA,GDWither,1,1
Grayed Out -Antifront-,Getty vs. DJ DiA,DyamoDash,1,1
Ghost,Camellia,Waterbottle317,1,1
Sweet Dreams,Ghost Stories,DyamoDash,1,1
Here We Go (Roblox Anthem),Giants of Industry,UsernameNotRequired,1,1
Borealis,ginkiha,Miles_Anarsk,1,1
Coral Fumes,glue70,ZitroNitro,1,1
disperagioia,gmtn. (witch's slave),Miles_Anarsk,1,1
furioso melodia,gmtn. (witch's slave),WaterBottle317,1,1
Looka Bomba,Go 2,Username_NotRequired,1,1
Spitfire,Go 2,Username_NotRequired,1,1
Cloud Chaser,Goblins From Mars,OKZitro,1,1
Cold Blooded Love,Goblins From Mars,skippingbee,1,1
King Taco,Goblins From Mars,OKZitro,1,1
Supreme (ft. Hayley Stewart),GosT,ZitroNitro,1,1
The Day (dj-jo remix),Graffiti,doofyplayer,1,1
Ragnarok Sped Up,Gram vs. Camellia,gold_wolf,1,1
Yggdrasil,Gram vs. Kobaryo,Plxsnya,1,1
Niebelungen,Gram,GDWither,1,1
Sigmund,Gram,nextro420,1,1
Contagious,Grant & RUNN,Uli6636,1,1
Starship,Grant,OKMasterz,1,1
Weapon,Grant,ELDragonPL,1,1
Tiger Blood,Graves Myrne,HaxagonYT,1,1
Bad Habits,gs,nextro420,1,1
fake,gs,nextro420,1,1
looming shadow of a tree long gone,gs,gold_wolf & Azurlexx,1,1
najimi breakers,gs,gold_wolf,1,1
o'er the flood,gs,GDWither,1,1
Pa-Pa-Pa-Pattycore!,gs,Azurlexx,1,1
post-modern weeaboo,gs,HaxagonYT,1,1
Satori de pon!,gs,ZitroNitro,1,1
slavik goblins,gs,HaxagonYT,1,1
too young to love,gs,Foxes_2,1,1
toromi hearts 2,gs,gold_wolf,1,1
Strawberry Trapper,Guilty Kiss,Plxsma_RBLX,1,1
Akari Has Arrived!,GYARI,M4eu,1,1
Honesty,GYZE,mm1678YT,1,1
SHOTGUN DANCE,H.U.T GiGAR,AshFromKaaba,1,1
What is Love Remix,Haddaway,UsernameNotRequired,1,1
84,HAGANE,Suyolite,1,1
U Got That [EPIC METAL COVER] (Little V),Halogen,FrozeniumZ,1,1
音TUNAK,Hamburgaga,DyamoDash,1,1
Mysterious Messenger,Han,Username_NotRequired,1,1
Sweets Parade,Hanazawa Kana,HaxagonYT,1,1
Ameno,Hatsune Miku,DyamoDash,1,1
Atama No Taisou,Hatsune Miku,Plxsma_RBLX,1,1
Kitsune no Yomeiri,Hatsune Miku & GUMI,ZitroNitro,1,1
Levan Polkka,Hatsune Miku,iMasterzzRBLX,1,1
Padoru Padoru (RRRRRemix Speedcore),Hatsune Miku,DyamoDash,1,1
Po Pi Po,Hatsune Miku,Username_NotRequired,1,1
Prologue,Haven,Iamuss76,1,1
Analys,Hayako,ZitroNitro,1,1
Destiny,Headhunterz,Avibah4uu2,1,1
A Reyvateils Curse,Helblinde,nextro420,1,1
Grief & Malice,Helblinde,WaterBottle317,1,1
Putin's #####,Helblinde,DyamoDash,1,1
The Solace of Oblivion,Helblinde,WaterBottle317,1,1
Goya no Machiawase (English Cover),Hello Sleepwalkers,UsernameNotRequired,1,1
The Glorious (Final Sketch Remix),Her Bright Skies,Qwarkie,1,1
Funky Dealer,Hideki Naganuma,Username_NotRequired,1,1
IOLITE-SUNSTONE,Hideyuki Ono x Daisuke Kurosawa,Azurlexx,1,1
DADADADADADADADADADA,Hige Driver join. SELEN,WaterBottle317,1,1
Realms,Hinkik & A Himitsu,andrew2005689,1,1
Explorers,Hinkik,ZitroNitro,1,1
Skystrike,Hinkik,ZitroNitro,1,1
Time Leaper,Hinkik,M4eu,1,1
Genesis At Oasis (Hirayasu Matsudo Remix),Hirayasu Matsudo,DyamoDash,1,1
Butter Building (Remix),Hirokazu Ando,OKZitro,1,1
Blah!!,HiTECH Ninja,OKZitro,1,1
Bike,Hitomi Sato,Crucru03,1,1
Driftveil City,Hitomi Sato,OKZitro & Crucru03,1,1
Undella Town (Spring/Autumn/Winter),Hitomi Sato,Crucru03,1,1
Bocca della Verità (Under Construction Remix),Hizumi Rei feat. Meika Mikoto,Szissor,1,1
Meta-Luminol,Hizumi Rei feat. Yuzuki Yukari,Szissor,1,1
Pappetta,Hizumi Rei feat.flower,Szissors,1,1
300 Nuts Per Minute,Holo Bass & Spikey Wikey,Noobisnotbad1,1,1
Can You Do The Hololive? (beyond the stage ver.),Hololive,AshFromKaaba,1,1
Hololive ga Fukkireta,hololive,DyamoDash,1,1
Aggrieve,Homestuck,mm1678YT,1,1
Rock it,Hommarju,Plxsma_RBLX,1,1
The Purified,Hoskey,reallyawesomestuff,1,1
Kira Kira Days,Houkago Tea Time,Noobisnotbad1,1,1
Ahoy We are the Houshou Pirates☆,Houshou Marine,DyamoDash,1,1
Nightclub Theme,Huniepop OST,TotoPowah,1,1
逆月,HuΣeR ft. Fernweh,EA_Crazed,1,1
Hyadain no Joujou Yuujou,Hyadain,M4eu,1,1
C O N T I N U E ? (LYFER MEGA-OVERLOAD REMIX),Hylna,DyamoDash,1,1
Time Trials Plus,Hyper Potions ft. Jun Senoue,Username_NotRequired,1,1
Littleroot Town,Hyper Potions,Username_NotRequired,1,1
Surf,Hyper Potions,Azurlexx,1,1
Maboroshi,"Hyper Potions, Synthion & MYLK",M4eu,1,1
Dead Dreaming,Hyperekplexia Vs Kopophobia,DyamoDash,1,1
Balanced Brain,Hyperekplexia,DyamoDash,1,1
Speedcore 300,Hypernite Industries,iMasterzzRBLX,1,1
Disorder,~ HyuN ft. YURI,Iamuss76,1,1
Lv.0,I.O,gold_wolf,1,1
A Tale of Six Trillion Years and One Night,IA,X3Corsaka,1,1
Summer Vacation,IAHN,OKZitro,1,1
Transform,IAHN,mm1678YT,1,1
Sea Shanty 2,Ian Taylor,iMasterzzRBLX,1,1
Entrance,ICE,reallyawesomestuff,1,1
Floor of lava,Ice,WaterBottle317,1,1
Parodia Sonatina,ICE,reallyawesomestuff,1,1
Abracadabra,ICHI,Eipcness99,1,1
Pavor Nocturnes,Igorrr,Water,1,1
Tout Petit Moineau,Igorrr,GDWither,1,1
Unpleasant Sonata,Igorrr,EA_Crazed,1,1
Keygen Church - Igparera fihi gexigug igpariug afc,Master Boot Record,Waterbottle317,2,1
Our Generation,Imil ft. Sunhiausa,julienlemab,1,1
Evacuate The Moshpit,Imil,AshFromKaaba,1,1
When Hate Takes Over,Imil,Noobisnotbad1,1,1
Uta,Imperial Circus Dead Decedance,GDWither,1,1
flowers ft. nori,in love with a ghost,Azurlexx,1,1
Lagtrain,inabakumori,ZitroNitro,1,1
Lapix,Inner Spirit,eipcness99,1,1
Disconnected Hardkore Canblaster Remix,Inspector K,GDWither & Plxsnya,1,1
DX Choseinou Full Metal Shojo,IOSYS TRAX,Crucru03,1,1
Marisa Stole The Precious Thing,IOSYS,Meteor_Melee,1,1
Overdrive,IOSYS,Meteor_Melee,1,1
"The Lovely, Freezing, Tomboyish Bath, Cirno's Hot Spring.",IOSYS,DyamoDash,1,1
Girls Talk Jotori Remix,Isekai Quartet ED,BasedSammy,1,1
Sleep Paralysis,isqa,Meteor_Melee,1,1
I'am No.1!★,Ito Asuka,Suyolite,1,1
Cloud 9,Itro & Tobu,Username_NotRequired,1,1
PASSPORT GUARDIAN (Benrey's theme),its3oe,DyamoDash,1,1
Responsibility Response (Sped Up),Izumi Akazawa,M4eu,1,1
Papyrus Paket Phoenix,i-win,Username_NotRequired,1,1
SPEED OF KIRB,i-win,DyamoDash & Username_NotRequired & BatBrice,1,1
Hotel Mario Main Theme,Jack Levy,Username_NotRequired,1,1
Two Time,Jack Stauber,Crucru03,1,1
Cursed,Jackal Queenston,OKZitro,1,1
Diurnal,Jackal Queenston,Username_NotRequired,1,1
Rubber Band,Jackal Queenston,iMasterzzRBLX & M4eu,1,1
A Dream,Jacob Tillberg,Username_NotRequired,1,1
Caffeine Rush,Jacob Tillberg,Neko_Mao,1,1
Ghosts,Jacob Tillberg,Neko_Mao,1,1
Heartless,Jacob Tillberg,Neko_Mao,1,1
Can Can Remix,Jacques Offenbach,UsernameNotRequired,1,1
I Won't Fall Apart,Jager,Username_NotRequired,1,1
Shiba Island,James Landino,BasedSammy,1,1
Red Like Roses Part 2,Jeff Williams,Ash_KetchumJake & datROBLOXguy17,1,1
Tutorial Neo,JellyFish,Frozen,1,1
Rats Birthday Mixtape,Jerma,mm1678YT,1,1
No.7,Jibaku Shounen Band,doofyplayer,1,1
Cutting Circles,jihnsius,fogsaturate,1,1
Arriba Mami,Jingle Punks,DyamoDash,1,1
I lost my flp,jioyi attacked by mirror,reallyawesomestuff,1,1
Cyanine,jioyi,Iamuss76 & WaterBottle317,1,1
Piracy is no Party!,Joey Perleoni,Meteor_Melee,1,1
seal.mp4,joeyclassic,Meteor_Melee,1,1
Country Roads Peter Hollens Cover,John Denver,UsernameNotRequired,1,1
Want You Gone (Rock Cover),Jonathan Coulton,Username_NotRequired,1,1
Seinfeld Theme (Gunshot Version),Jonathan Wolff,Meteor_Melee,1,1
THE BOX,JOYRYDE,GDWither,1,1
"Psychomantis ""Third Child""",Juggernaut.,Azurlexx,1,1
Valhalla:0,Juggernaut.,Azurlexx,1,1
†:OLPHEUX:†,Juggernaut.,Azurlexx,1,1
bruh,jump man 93,nextro420,1,1
Aether,Jumper,Azurlexx,1,1
Candy Mountain,Jun Ishikawa & Dan Miyakawa,ZitroNitro,1,1
Cygnus,Jun Kuroda & aaaa,reallyawesomestuff,1,1
Ultimate Fate,Jun Kuroda + AAAA,reallyawesomestuff,1,1
Ikouze Paradise,Junji Majima,M4eu,1,1
Where Are You Now,Justin Bieber,doofyplayer,1,1
Alleyways (ft. Dr. Disrespect),J+1,Meteor_Melee,1,1
Give Em' The Love (ft. Dr. Disrespect & Halifax) (Instrumental),J+1,Meteor_Melee,1,1
The Flute Tune (Soulpride Remix),J-Cut & Kolt Siewerts,wolfyou,1,1
Bon Appetit S (Oldskool HappyHardcore Remix),K A Z M A S A,DyamoDash,1,1
Tokyo Teddy Bear UtsuP Cover,Kagamine Rin,andrew2005689,1,1
Crazy Banger,Kagetora.,ZitroNitro,1,1
Red Azalea,Kagetora.,ZitroNitro,1,1
Escape,Kaivaan,ELDragonPL,1,1
Kamikaze,m1dy,bartek,1,1
crêpe suzette,kamome sano,OKZitro,1,1
emotional,kamome sano,Plxsma_RBLX,1,1
HE4VAN,kamome sano,WaterBottle317,1,1
sachertorte,kamome sano,Suyolite,1,1
Archivezip,Kamone Sano,doofyplayer,1,1
Virtual Bit,KAN TAKAHIKO,GDWither,1,1
Baton Road,KANA BOON,BasedSammy,1,1
Hacking to the Gate,Kanako Itō,AshFromKaaba,1,1
KING (Kurone Yomi & Qu Qualia cover),Kanaria,DyamoDash,1,1
iLLness LiLin,Kaneko Chiharu,Plxsma_RBLX,1,1
Kai Dan,Kaneko Chiharu,nextro420,1,1
poxei♦︎DOON,Kaneko Chiharu,nextro420,1,1
WHITEOUT,Kaneko Chiharu,WaterBottle317,1,1
Zettai Reido,Kaneko Chiharu,Plxsma_RBLX,1,1
ΓΛLLΞИ,Kaneko Chiharu,gold_wolf,1,1
Walk this way!,Kano,WaterBottle317,1,1
FIN4LE,Kanome Sano Electric Orchestra,GDWither,1,1
Tsukinami (sped up ver.),Kanon Wakeshima,Qwarkie,1,1
Aizome,Karmadylo,skippingbee,1,1
Pastel Waltz,Karmadylo,doofyplayer,1,1
あじさい,Karmadylo,doofyplayer,1,1
Cycle Hit,Kasai Harcores,iMasterzzRBLX,1,1
Trinity Homerun,KASAI HARCORES,iMasterzzRBLX & GDWither & M4eu,1,1
TRIPLE PLAY,KASAI HARCORES,iMasterzzRBLX & M4eu & GDWither,1,1
Breakin' Asia,Katagiri,nextro420,1,1
Katagiri,katagiri,gold_wolf,1,1
Bopeebo,Kawai Sprite,FrozeniumZ,1,1
Guns,Kawai Sprite,Meteor_Melee,1,1
Neptune,Kawai Sprite,Noobisnotbad1,1,1
Stress,Kawai Sprite,Meteor_Melee,1,1
Ugh,Kawai Sprite,Meteor_Melee,1,1
Creative Exercise,Kazumi Totaka,Meteor_Melee,1,1
POP STARS,KDA,Username_NotRequired,1,1
This Time Around,Keepsake ft. Slyleaf,skippingbee,1,1
Absolute Territory,Ken Ashcorp,Username_NotRequired,1,1
New Horizon,Ken Blast,Username_NotRequired,1,1
Take Me,Ken Blast,Username_NotRequired,1,1
The Top,Ken Blast,Username_NotRequired,1,1
When the Sun Goes Down,Ken Blast,Username_NotRequired,1,1
Peace Sign (DJ Jo Remix),Kenshi Yonezu,skippingbee,1,1
ListENiNg to spEEDcorE turNs you iNto An idiot Kobaryos FTN-Remix,kenta-v.ez,DyamoDash,1,1
Flamingo (WTN3 Remix),Kero Kero Bonito,GDWither,1,1
Pingu Zone,Keulas,Plxsma_RBLX,1,1
Kick Shock,Kevin Macleod,Avibah4uu2,1,1
Johnny Test Theme Song,Kevin Manthei,Username_NotRequired,1,1
Baqua ighallag farodaf progbarebc equilea dolugheg,KEYGEN CHURCH,WaterBottle317,1,1
Ohfaquiug egidof varicef odiug peric,Keygen Church,Duckocute & Crucru03,1,1
Ange du Blanc Pur,ke-ji ft. Nanahira,ZitroNitro,1,1
Talk Daju Remix,Khalid,skippingbee,1,1
Kick To The Sky (Speedchip Remix),Kobaryo,EA_Crazed,1,1
Fire Aura,Kid2Will,Username_NotRequired,1,1
Hazakura,Kie Katano,EA_Crazed,1,1
Wicked Ways,Killabyte,Karl_RBX,1,1
Future World,KillerBlood,Naoriwa,1,1
Menu Camellia Remix,Kirby Air Ride,BasedSammy,1,1
Masked Dedede (GaMetal Metal Cover),Kirby Super Star Ultra,Meteor_Melee & Username_NotRequired,1,1
Green Greens,Kirby Super Star,Meteor_Melee,1,1
Gourmet Race,Kirby's Dream Land 3,Meteor_Melee,1,1
Sand Canyon,Kirby's Dream Land 3,Meteor_Melee,1,1
log4_SUNLUST,KITCALIBER,DyamoDash,1,1
Shamisen Drives the Wind,Kitkit Lu,superluigizero,1,1
He Has No Mittens,Kitsune2,ShadowPro520,1,1
Rock My Emotions,Kitsune2,UsernameNotRequired,1,1
SKUGGIN AROUND,Kitsune2,UsernameNotRequired,1,1
Neopandemic,Kitsune²,Username_NotRequired,1,1
Take Off And Land,Kitsune²,Meteor_Melee & Username_NotRequired,1,1
Crab Nicholson Extreme Sleepover,Kitsune^2,Username_NotRequired,1,1
Daytona's Revenge,Kitsune^2,Username_NotRequired,1,1
Goodnight,Kitsune^2,Username_NotRequired,1,1
Rainbow Tylenol,Kitsune^2,Username_NotRequired,1,1
Wac't,Kitsune^2,Username_NotRequired,1,1
Whatchall Know About Nintendo,Kitsune^2,Username_NotRequired,1,1
Genesys,KIVA,Naoriwa,1,1
Bonfire (Camellia's ElectroHouse Bootleg),Knife Party,Meteor_Melee,1,1
Give It Up,Knife Party,AzureWolfie,1,1
Time Traveller,KNOWER,ZitroNitro,1,1
fuego sakuraburst remix,KOAN Sound + Asa,HaxagonYT,1,1
Xv1v1@84{1-1!,Kobaryo ft. blaxervant,gold_wolf,1,1
Volatile Memory,Kobaryo ft. DJ Genki,Azurlexx,1,1
SUPER MEMORIES,Kobaryo ft. HiTNEX-X,gold_wolf,1,1
Kumo No Kireme,Kobaryo ft. Kourin.,EA_Crazed,1,1
Attention ##### Magic,Kobaryo ft. kyou1110,DyamoDash,1,1
sweet compote,Kobaryo ft. mikanzil,EA_Crazed,1,1
Cross The Finish Line,Kobaryo ft. Nanahira,WaterBottle317,1,1
northern limit,Kobaryo ft. Sennzai,DyamoDash,1,1
Speed Complexxx,Kobaryo ft. Srezcat,Azurlexx,1,1
Dotabata Animation,Kobaryo ft. T+pazolite,Plxsma_RBLX,1,1
Yura yura sweet genocide,Kobaryo ft. T+Pazolite,EA_Crazed,1,1
Sulyvahn,Kobaryo ft. USAO,WaterBottle317,1,1
Aozora Gradation,Kobaryo ft. you,EA_Crazed,1,1
Kick To The Sky (Speedchip Remix),Kobaryo,EA_Crazed,1,1
5P33D 5T4R,Kobaryo,DyamoDash,1,1
Affiliate Requiem,Kobaryo,WaterBottle317,1,1
Altar of Speed,Kobaryo,nextro420,1,1
Apocalypse Simulator,Kobaryo,DyamoDash,1,1
Blackbird,Kobaryo,EA_Crazed,1,1
Bookmaker (2D Version),Kobaryo,nextro420,1,1
Cartoon Candy,Kobaryo,Noobisnotbad1,1,1
Chocolate Lily,Kobaryo,nextro420,1,1
Clock Control,Kobaryo,DyamoDash,1,1
CU73 D3V1L,Kobaryo,EA_Crazed,1,1
Delete the World,Kobaryo,DyamoDash,1,1
Destructive Little Sister,Kobaryo,C_ggus,1,1
Endless Adventure,Kobaryo,Azurlexx & EA_Crazed,1,1
Energy Laser,Kobaryo,DyamoDash,1,1
Eternal Ending,Kobaryo,BluPros,1,1
Eternal Ending (aran Remix),Kobaryo,nextro420,1,1
Evening,Kobaryo,BlueyGD,1,1
Evolution Canceler,Kobaryo,EA_Crazed,1,1
Fantasie-Celeritas,Kobaryo,gold_wolf,1,1
G.G.S.B.N.D.S.,Kobaryo,ZitroNitro,1,1
