title,artist,mappers,difficulties_amount,version
Furret Walk (Frozentual Corrupted Remix),Big Memer,Suyolite,1,1
Hamburger Cheeseburger Big Mac Whopper,bigwillystatus,Noobisnotbad1,1,1
Dadadada Windows,Bill Gates,DyamoDash,1,1
alphabet shuffle,bill wurtz,Meteor_Melee,1,1
and the day goes on,bill wurtz,Meteor_Melee,1,1
at the airport terminal,bill wurtz,Avibah4uu2,1,1
i don't wanna go to school,bill wurtz,Username_NotRequired,1,1
i'm a diamond,bill wurtz,Username_NotRequired,1,1
i'm best friends with my own front door,bill wurtz,Meteor_Melee,1,1
La de da de da de da de day oh,bill wurtz,X3Corsaka,1,1
maybe i could eat blades of grass,bill wurtz,Meteor_Melee,1,1
might quit,bill wurtz,Meteor_Melee,1,1
the moon is made of cheese (but i can't taste it),bill wurtz,Meteor_Melee,1,1
Just Dash and Dodge,Billy Robertson,GDWither & TotoPowah,1,1
Antithese,Blacklolita,nextro420,1,1
WEAVER ft. lilac,Blackwinterwells,KindClutch,1,1
"HAVOX (Camellia ""XATAXLYSM"" Remix)",BlackY vs. Yooh,BatBrice,1,1
Depravity ClimaXXX,BlackY,WaterBottle317,1,1
"β (Camellia's ""βlΑst-Ωff"" Remix)",BlackY,EA_Crazed,1,1
BLACK or WHITE,BlackYooh vs. siromaru,M4eu & Iamuss76 & BatBrice,1,1
BLACK OR WHITE (SDVX Edit),BlackYooh,TotoPowah,1,1
B-Start Up,Blank Banshee,GDWither,1,1
Flat World Plain Asia,BLANKFIELD,Water,1,1
Goodbye,BLANKFIELD,nextro420,1,1
Garden Party,Blarsa,GDWither,1,1
my time,bo en,HaxagonYT,1,1
my time (OMORI ver.),bo en,ZitroNitro,1,1
Trance Music for Racing Game,Bobby Cole,Noobisnotbad1,1,1
Bad Stuff Happens In The Bathroom,Bob's Burgers,Iamuss76,1,1
Firewall,Boom Kitty,Crucru03,1,1
Holy War,Boom Kitty,Crucru03,1,1
P Song,Boom Kitty,Username_NotRequired,1,1
Be Gone Mr. Gawne,Bossfight,Username_NotRequired,1,1
Elevatia,Bossfight,M4eu,1,1
Flirt Flirt Oh It hurts,Bossfight,DyamoDash,1,1
Milky Ways,Bossfight,Crucru03,1,1
Okiba Crackdown,Bossfight,M4eu,1,1
Partyt Ar Igang,Bossfight,UsernameNotRequired,1,1
"Wobbly Tooth, Crunchy Apple",Bossfight,Azurlexx,1,1
Happy New BPM 2020,Kobaryo,EA_Crazed,1,1
BPMRT,tpazolite,DyamoDash,1,1
Ice Cream and Cake,Buckwheat Boyz,Meteor_Melee,1,1
Blippblipp,Bunnymajs,Crucru03,1,1
When I use it,Buster Nalmi,DyamoDash,1,1
Nisemono Chuuihou,B-ko (CV Touyama Nao),WaterBottle317,1,1
Dry Hands,C418,Robineesti11,1,1
Strad,C418,Plxsma_RBLX,1,1
Lit Fuse,Cacola,OKZitro,1,1
"Excuse My Rudeness, but Could You Please RIP?♡ (Nhato Remix)",Calliope Mori,ZitroNitro,1,1
